Prime,Complexity
5,1
7,1
11,2
13,2
17,2
19,2
23,2
29,3
31,3
37,3
41,3
43,3
47,3
53,4
59,4
61,4
67,4
71,4
73,4
79,4
83,5
89,5
97,5
101,5
103,5
107,5
109,5
113,5
127,6
131,6
137,6
139,6
149,6
151,6
157,6
163,6
167,6
173,7
179,7
181,7
191,7
193,7
197,7
199,7
211,7
223,7
227,8
229,8
233,8
239,8
241,8
251,8
257,8
263,8
269,8
271,8
277,8
281,8
283,8
293,9
307,9
311,9
313,9
317,9
331,9
337,9
347,9
349,9
353,9
359,9
367,10
373,10
379,10
383,10
389,10
397,10
401,10
409,10
419,10
421,10
431,10
433,10
439,10
443,11
449,11
457,11
461,11
463,11
467,11
479,11
487,11
491,11
499,11
503,11
509,11
521,11
523,11
541,12
547,12
557,12
563,12
569,12
571,12
577,12
587,12
593,12
599,12
601,12
607,12
613,12
617,12
619,12
631,13
641,13
643,13
647,13
653,13
659,13
661,13
673,13
677,13
683,13
691,13
701,13
709,13
719,13
727,13
733,14
739,14
743,14
751,14
757,14
761,14
769,14
773,14
787,14
797,14
809,14
811,14
821,14
823,14
827,14
829,14
839,14
853,15
857,15
859,15
863,15
877,15
881,15
883,15
887,15
907,15
911,15
919,15
929,15
937,15
941,15
947,15
953,15
967,16
971,16
977,16
983,16
991,16
997,16
1009,16
1013,16
1019,16
1021,16
1031,16
1033,16
1039,16
1049,16
1051,16
1061,16
1063,16
1069,16
1087,16
1091,17
1093,17
1097,17
1103,17
1109,17
1117,17
1123,17
1129,17
1151,17
1153,17
1163,17
1171,17
1181,17
1187,17
1193,17
1201,17
1213,17
1217,17
1223,17
1229,18
1231,18
1237,18
1249,18
1259,18
1277,18
1279,18
1283,18
1289,18
1291,18
1297,18
1301,18
1303,18
1307,18
1319,18
1321,18
1327,18
1361,18
1367,18
1373,19
1381,19
1399,19
1409,19
1423,19
1427,19
1429,19
1433,19
1439,19
1447,19
1451,19
1453,19
1459,19
1471,19
1481,19
1483,19
1487,19
1489,19
1493,19
1499,19
1511,19
1523,20
1531,20
1543,20
1549,20
1553,20
1559,20
1567,20
1571,20
1579,20
1583,20
1597,20
1601,20
1607,20
1609,20
1613,20
1619,20
1621,20
1627,20
1637,20
1657,20
1663,20
1667,20
1669,20
1693,21
1697,21
1699,21
1709,21
1721,21
1723,21
1733,21
1741,21
1747,21
1753,21
1759,21
1777,21
1783,21
1787,21
1789,21
1801,21
1811,21
1823,21
1831,21
1847,21
1861,22
1867,22
1871,22
1873,22
1877,22
1879,22
1889,22
1901,22
1907,22
1913,22
1931,22
1933,22
1949,22
1951,22
